"dbpedia_1005","Kaggle_4324816","0.0","0.0","0.3960597826086957","Coca-Cola Bottling Co. Consolidated","pepsi-cola bottling company of new haven"
"dbpedia_1026","Kaggle_4455704","0.0","0.0","0.562200956937799","Comfort Systems USA","woods comfort systems"
"dbpedia_1026","Kaggle_4558366","0.0","0.0","0.6733333333333333","Comfort Systems USA","comfort systems usa (arkansas), inc."
"dbpedia_1026","Kaggle_4762813","0.0","0.0","0.7019927536231884","Comfort Systems USA","comfort systems usa indiana"
"dbpedia_1027","Kaggle_3773328","0.0","0.0","0.35490196078431374","CommScope","compass computer"
"dbpedia_1029","Kaggle_4297343","0.0","0.0","0.606907894736842","Commercial Bank of Dubai","commercial energy direct limited"
"dbpedia_1029","Kaggle_4581071","0.0","0.0","0.3533333333333333","Commercial Bank of Dubai","ellas commercial real estate, inc."
"dbpedia_1029","Kaggle_4822602","0.0","0.0","0.45999999999999996","Commercial Bank of Dubai","nw commercial cleaning"
"dbpedia_1029","Kaggle_5025695","0.0","0.0","0.3546401515151515","Commercial Bank of Dubai","commercial domestic investigations"
"dbpedia_1030","Kaggle_3837467","0.0","0.0","0.3773148148148148","Commercial Bank of Qatar","bright commercial lighting"
"dbpedia_1030","Kaggle_4232561","0.0","0.0","0.34872080088987767","Commercial Bank of Qatar","comavicola commerciale avicola spa"
"dbpedia_1030","Kaggle_4581071","0.0","0.0","0.3933333333333333","Commercial Bank of Qatar","ellas commercial real estate, inc."
"dbpedia_1030","Kaggle_5148640","0.0","0.0","0.3545454545454546","Commercial Bank of Qatar","junction 6 commercials limited"
"dbpedia_1031","Kaggle_3520670","0.0","0.0","0.37549407114624506","Commercial Metals Company","comercial melba textil s.l."
"dbpedia_1031","Kaggle_3679332","0.0","0.0","0.35671936758893286","Commercial Metals Company","gr8 commercial"
"dbpedia_1031","Kaggle_3756057","0.0","0.0","0.35387931034482756","Commercial Metals Company","commercial hot water and maintenance"
"dbpedia_1031","Kaggle_3821515","0.0","0.0","0.4295352323838081","Commercial Metals Company","come clean company"
"dbpedia_1031","Kaggle_3839253","0.0","0.0","0.3808695652173913","Commercial Metals Company","compel company"
"dbpedia_1031","Kaggle_3998273","0.0","0.0","0.3953804347826087","Commercial Metals Company","commercial sandblasting"
"dbpedia_1031","Kaggle_4085641","0.0","0.0","0.42735042735042733","Commercial Metals Company","commercial capital llc canada"
"dbpedia_1031","Kaggle_4290785","0.0","0.0","0.42503748125937035","Commercial Metals Company","the commitment company"
"dbpedia_1031","Kaggle_4341774","0.0","0.0","0.44227886056971516","Commercial Metals Company","orijodeals company ltd"
"dbpedia_1031","Kaggle_4378980","0.0","0.0","0.38224637681159424","Commercial Metals Company","gus commercials limited"
"dbpedia_1031","Kaggle_4698428","0.0","0.0","0.4821272885789015","Commercial Metals Company","commercial union assurance company limited"
"dbpedia_1031","Kaggle_5230140","0.0","0.0","0.3557692307692307","Commercial Metals Company","premier real estate company"
"dbpedia_1032","Kaggle_3541604","0.0","0.0","0.3658730158730159","Commercial National Financial","national retail & commercial contractors, inc."
"dbpedia_1032","Kaggle_3721893","0.0","0.0","0.3492647058823529","Commercial National Financial","production & commercial group «colorprint»"
"dbpedia_1032","Kaggle_4018870","0.0","0.0","0.35069124423963133","Commercial National Financial","regional commercial centre ""yugavia"""
"dbpedia_1032","Kaggle_4232561","0.0","0.0","0.36643145161290325","Commercial National Financial","comavicola commerciale avicola spa"
"dbpedia_1032","Kaggle_4324543","0.0","0.0","0.43428912783751494","Commercial National Financial","commercial turf fertilization"
"dbpedia_1032","Kaggle_4408936","0.0","0.0","0.39243697478991596","Commercial National Financial","c3 commercial construction consulting"
"dbpedia_1032","Kaggle_4427438","0.0","0.0","0.4231974921630094","Commercial National Financial","commercial space transportation"
"dbpedia_1032","Kaggle_4450233","0.0","0.0","0.506896551724138","Commercial National Financial","commercial stationers - india"
"dbpedia_1032","Kaggle_4581071","0.0","0.0","0.3612121212121212","Commercial National Financial","ellas commercial real estate, inc."
"dbpedia_1032","Kaggle_4667635","0.0","0.0","0.39925925925925926","Commercial National Financial","russian national commercial bank"
"dbpedia_1032","Kaggle_5025695","0.0","0.0","0.41084558823529416","Commercial National Financial","commercial domestic investigations"
"dbpedia_1032","Kaggle_5245150","0.0","0.0","0.4050420168067227","Commercial National Financial","irish commercial mediation association"
"dbpedia_1033","Kaggle_3670022","0.0","0.0","0.43191721132897604","Community Health Systems","advanced community healthcare limited"
"dbpedia_1033","Kaggle_3813875","0.0","0.0","0.4011627906976744","Community Health Systems","clear's community health institute & tai chi"
"dbpedia_1033","Kaggle_3852130","0.0","0.0","0.4327445652173913","Community Health Systems","perfect body health system"
"dbpedia_1033","Kaggle_3909348","0.0","0.0","0.4370629370629371","Community Health Systems","ammonoosuc community health services, inc."
"dbpedia_1033","Kaggle_3913880","0.0","0.0","0.41919191919191917","Community Health Systems","parkland community health plan inc"
"dbpedia_1033","Kaggle_3950677","0.0","0.0","0.36950146627565983","Community Health Systems","convergent systems"
"dbpedia_1033","Kaggle_3957348","0.0","0.0","0.4110054347826087","Community Health Systems","welcare health systems pvt ltd"
"dbpedia_1033","Kaggle_3982355","0.0","0.0","0.3549707602339181","Community Health Systems","northwest colorado community health center"
"dbpedia_1033","Kaggle_3991819","0.0","0.0","0.39930313588850175","Community Health Systems","community health provider alliance (chpa)"
"dbpedia_1033","Kaggle_4055253","0.0","0.0","0.4085081585081585","Community Health Systems","community systems foundation"
"dbpedia_1033","Kaggle_4092555","0.0","0.0","0.38977272727272727","Community Health Systems","the four villages community health centre"
"dbpedia_1033","Kaggle_4155676","0.0","0.0","0.6101398601398602","Community Health Systems","community health & rehab"
"dbpedia_1033","Kaggle_4177966","0.0","0.0","0.4662004662004662","Community Health Systems","roane community health clinic"
"dbpedia_1033","Kaggle_4360541","0.0","0.0","0.49783549783549785","Community Health Systems","community hearing health center inc"
"dbpedia_1033","Kaggle_4457411","0.0","0.0","0.4377104377104377","Community Health Systems","downtown community health care"
"dbpedia_1033","Kaggle_4500904","0.0","0.0","0.45441176470588235","Community Health Systems","community health and wellness center of miami"
"dbpedia_1033","Kaggle_4604192","0.0","0.0","0.35735735735735735","Community Health Systems","proserv communication systems"
"dbpedia_1033","Kaggle_4636718","0.0","0.0","0.4366883116883117","Community Health Systems","beyond community & health inc"
"dbpedia_1033","Kaggle_4863700","0.4827586206896552","0.0","0.6326836581709145","Community Health Systems","community health partners"
"dbpedia_1033","Kaggle_4874618","0.0","0.0","0.48747276688453156","Community Health Systems","lawton community health center inc"
"dbpedia_1033","Kaggle_5031059","0.0","0.0","0.3968590831918506","Community Health Systems","lake norman community health clinic inc"
"dbpedia_1033","Kaggle_5074915","0.0","0.0","0.3774570024570024","Community Health Systems","community association management systems, inc."
"dbpedia_1033","Kaggle_5106132","0.0","0.0","0.36844836533471714","Community Health Systems","community hospital health services foundation"
"dbpedia_1033","Kaggle_5149125","0.0","0.0","0.46736596736596736","Community Health Systems","community health charities of minnesota"
"dbpedia_1033","Kaggle_5224912","0.0","0.0","0.46580645161290324","Community Health Systems","kaufman community health svc"
"dbpedia_1034","Kaggle_3719112","0.0","0.0","0.447463768115942","Community West Bancshares","the community well ltd"
"dbpedia_1034","Kaggle_4140464","0.0","0.0","0.39371980676328505","Community West Bancshares","community healing gardens"
"dbpedia_1034","Kaggle_4594654","0.0","0.0","0.7463768115942029","Community West Bancshares","community bancshares"
"dbpedia_1034","Kaggle_5200315","0.0","0.0","0.4307568438003221","Community West Bancshares","community of peace"
"dbpedia_1035","Kaggle_4665434","0.3673469387755102","0.0","0.48630504833512356","Companhia Paulista de Trens Metropolitanos","companhia paulista de securitizacao"
"dbpedia_1036","Kaggle_3463009","0.0","0.0","0.3727621483375959","Companhia do Metropolitano de São Paulo","companhia de gas de sao paulo comgas"
"dbpedia_1036","Kaggle_4236761","0.0","0.0","0.3539671682626539","Companhia do Metropolitano de São Paulo","metropolitan lumber company"
"dbpedia_1036","Kaggle_4970746","0.0","0.0","0.35154061624649857","Companhia do Metropolitano de São Paulo","metropolitan opera club"
"dbpedia_1036","Kaggle_5075180","0.0","0.0","0.3547345767575323","Companhia do Metropolitano de São Paulo","parkour metropolitano"
"dbpedia_1037","Kaggle_5134982","0.0","0.0","0.4288461538461539","Compass Resources","community resource fcu"
"dbpedia_1038","Kaggle_3918999","0.0","0.0","0.7638888888888888","Compass, Inc.","compass nv"
"dbpedia_1038","Kaggle_4876170","0.0","0.0","0.9375","Compass, Inc.","compass-3"
"dbpedia_1043","Kaggle_3974524","0.0","0.0","0.4297385620915033","Concentrix","concentra asesores"
"dbpedia_1043","Kaggle_5074676","0.0","0.0","0.8500000000000001","Concentrix","concentric corp."
"dbpedia_1045","Kaggle_3809746","0.0","0.0","0.4454954954954955","Conemaugh Health System","connell behavioral health systems"
"dbpedia_1049","Kaggle_4830518","0.0","0.0","0.8708333333333333","ConocoPhillips","conocophillips (u.k.) limited"
"dbpedia_1050","Kaggle_3623203","0.0","0.0","0.4337606837606838","Consolidated Communications","consolidated equipment & supply co."
"dbpedia_1050","Kaggle_3640820","0.0","0.0","0.417989417989418","Consolidated Communications","consolidated elementary school"
"dbpedia_1050","Kaggle_3760021","0.0","0.0","0.42500000000000004","Consolidated Communications","consolidation solutions llc."
"dbpedia_1050","Kaggle_4205046","0.0","0.0","0.4033251231527094","Consolidated Communications","consolidated truck parts & service"
"dbpedia_1050","Kaggle_4273991","0.0","0.0","0.3896551724137931","Consolidated Communications","consolidated business assistance"
"dbpedia_1050","Kaggle_4391613","0.0","0.6857142857142857","0.0","Consolidated Communications","consolidated communications networks, inc."
"dbpedia_1050","Kaggle_4831408","0.0","0.0","0.3768817204301075","Consolidated Communications","consolidated shipping services llc"
"dbpedia_1050","Kaggle_4968909","0.5238095238095238","0.0","0.5346320346320346","Consolidated Communications","consolidated accounting"
"dbpedia_1050","Kaggle_4990337","0.0","0.0","0.4106002554278416","Consolidated Communications","consolidated water power company"
"dbpedia_1050","Kaggle_5183936","0.0","0.0","0.6055555555555556","Consolidated Communications","consolidated controls inc."
"dbpedia_1051","Kaggle_3728346","0.0","0.0","0.3593350383631714","Consolidated Media Holdings","insite media group"
"dbpedia_1051","Kaggle_3891190","0.0","0.0","0.3707093821510298","Consolidated Media Holdings","tg media consolidator"
"dbpedia_1051","Kaggle_4204764","0.0","0.0","0.4104859335038363","Consolidated Media Holdings","cool cat media"
"dbpedia_1051","Kaggle_4228662","0.0","0.0","0.38107416879795397","Consolidated Media Holdings","monster media"
"dbpedia_1051","Kaggle_4857026","0.7894736842105263","0.0","0.8421052631578947","Consolidated Media Holdings","consolidated medical industries limited"
"dbpedia_1051","Kaggle_4968909","0.0","0.0","0.506993006993007","Consolidated Media Holdings","consolidated accounting"
"dbpedia_1052","Kaggle_3985495","0.0","0.0","0.3501144164759726","Constellation Brands","olli brands inc."
"dbpedia_1052","Kaggle_4971631","0.0","0.0","0.565","Constellation Brands","constellation capital"
"dbpedia_1052","Kaggle_5040251","0.0","0.0","0.4445454545454545","Constellation Brands","confetti constellations limited"
"dbpedia_1053","Kaggle_3503775","0.0","0.0","0.62531328320802","Constellation Energy","constellation financial services limited"
"dbpedia_1053","Kaggle_3570320","0.0","0.0","0.6144736842105263","Constellation Energy","family constellations"
"dbpedia_1053","Kaggle_3931842","0.0","0.0","0.38645833333333335","Constellation Energy","systemic constellations center riga"
"dbpedia_1053","Kaggle_4144855","0.0","0.0","0.4085213032581454","Constellation Energy","consolutec solutions"
"dbpedia_1053","Kaggle_4405820","0.0","0.0","0.3716577540106952","Constellation Energy","coyle construction, inc."
"dbpedia_1053","Kaggle_4461257","0.0","0.0","0.6095238095238096","Constellation Energy","constellation property group"
"dbpedia_1053","Kaggle_4714967","0.0","0.0","0.8348214285714286","Constellation Energy","constellationsla"
"dbpedia_1053","Kaggle_5040251","0.0","0.0","0.6112440191387559","Constellation Energy","confetti constellations limited"
"dbpedia_1054","Kaggle_3572108","0.0","0.0","0.4257142857142857","Constellation Software","netgen software inc."
"dbpedia_1054","Kaggle_3598757","0.0","0.0","0.4129720853858785","Constellation Software","konceptis software inc."
"dbpedia_1054","Kaggle_3920808","0.0","0.0","0.39233954451345754","Constellation Software","csl software"
"dbpedia_1054","Kaggle_4457475","0.0","0.0","0.41309523809523807","Constellation Software","c2n software"
"dbpedia_1054","Kaggle_4461257","0.0","0.0","0.5317460317460317","Constellation Software","constellation property group"
"dbpedia_1054","Kaggle_4658520","0.0","0.0","0.3819047619047619","Constellation Software","obvio software, inc."
"dbpedia_1054","Kaggle_5040251","0.0","0.0","0.3898601398601399","Constellation Software","confetti constellations limited"
"dbpedia_1054","Kaggle_5056791","0.0","0.0","0.4496336996336996","Constellation Software","nomotion software llc"
"dbpedia_1055","Kaggle_4874145","0.0","0.0","0.5643939393939393","Contact Energy","contact image"
"dbpedia_1056","Kaggle_3471758","0.0","0.0","0.406650641025641","Continental Engineering Corporation","nunn consulting and project engineering"
"dbpedia_1056","Kaggle_3531444","0.0","0.0","0.49221949221949224","Continental Engineering Corporation","churchill environmental engineering ltd"
"dbpedia_1056","Kaggle_3610683","0.0","0.0","0.45622119815668205","Continental Engineering Corporation","coastal engineering & consulting"
"dbpedia_1056","Kaggle_3699532","0.0","0.0","0.5188087774294671","Continental Engineering Corporation","lone star engineering"
"dbpedia_1056","Kaggle_3710328","0.0","0.0","0.400974025974026","Continental Engineering Corporation","goal engineering dooel"
"dbpedia_1056","Kaggle_3732386","0.0","0.26865671641791045","0.3860294117647059","Continental Engineering Corporation","simem construction & environmental engineering private limited"
"dbpedia_1056","Kaggle_3780530","0.0","0.0","0.5454545454545455","Continental Engineering Corporation","engine engineering"
"dbpedia_1056","Kaggle_3876470","0.0","0.0","0.3630434782608696","Continental Engineering Corporation","environmental civil engineering consulting center"
"dbpedia_1056","Kaggle_3878421","0.0","0.0","0.5128458498023715","Continental Engineering Corporation","gel engineering"
"dbpedia_1056","Kaggle_3878527","0.0","0.0","0.5154545454545454","Continental Engineering Corporation","vuicon engineering"
"dbpedia_1056","Kaggle_3905555","0.0","0.0","0.4395424836601307","Continental Engineering Corporation","bing professional engineering inc."
"dbpedia_1056","Kaggle_3922016","0.0","0.0","0.4927272727272727","Continental Engineering Corporation","co.in engineering s.r.l."
"dbpedia_1056","Kaggle_3922370","0.0","0.0","0.513986013986014","Continental Engineering Corporation","caden cad + engineering"
"dbpedia_1056","Kaggle_3922908","0.0","0.0","0.4424603174603175","Continental Engineering Corporation","current renewables engineering inc."
"dbpedia_1056","Kaggle_3928132","0.0","0.0","0.40791954745443115","Continental Engineering Corporation","miami environmental & civil engineering, llc"
"dbpedia_1056","Kaggle_3961660","0.0","0.0","0.520909090909091","Continental Engineering Corporation","linea engineering"
"dbpedia_1056","Kaggle_4020871","0.0","0.0","0.4360795454545454","Continental Engineering Corporation","san jose test engineering"
"dbpedia_1056","Kaggle_4072316","0.3103448275862069","0.20930232558139536","0.45062695924764884","Continental Engineering Corporation","robotics engineering ltd"
"dbpedia_1056","Kaggle_4074316","0.0","0.0","0.37882882882882885","Continental Engineering Corporation","contecs engineering services gmbh"
"dbpedia_1056","Kaggle_4094630","0.0","0.0","0.419200954084675","Continental Engineering Corporation","mcl environmental engineering solutions, llc"
"dbpedia_1056","Kaggle_4153832","0.0","0.0","0.3507030603804797","Continental Engineering Corporation","industrial engineering services (uk) ltd"
"dbpedia_1056","Kaggle_4195132","0.0","0.0","0.3580623306233062","Continental Engineering Corporation","beijing tellhow intelligent engineering co., ltd."
"dbpedia_1056","Kaggle_4232416","0.0","0.0","0.40019762845849804","Continental Engineering Corporation","mm continental"
"dbpedia_1056","Kaggle_4239412","0.0","0.0","0.5372549019607843","Continental Engineering Corporation","severn environmental engineering limited"
"dbpedia_1056","Kaggle_4243086","0.0","0.0","0.38571428571428573","Continental Engineering Corporation","broadcast & installation engineering (pty) ltd"
"dbpedia_1056","Kaggle_4256249","0.0","0.0","0.4171195652173913","Continental Engineering Corporation","tegart design & engineering inc."
"dbpedia_1056","Kaggle_4286809","0.21153846153846154","0.203125","0.0","Continental Engineering Corporation","emc2. inc. - engineering, management, construction consultants"
"dbpedia_1056","Kaggle_4331536","0.0","0.0","0.3647727272727273","Continental Engineering Corporation","industrial construction and engineering co."
"dbpedia_1056","Kaggle_4389871","0.0","0.0","0.6037037037037036","Continental Engineering Corporation","c2h environmental engineering"
"dbpedia_1056","Kaggle_4462954","0.0","0.0","0.34696969696969693","Continental Engineering Corporation","enray global engineering consultants"
"dbpedia_1056","Kaggle_4538835","0.0","0.0","0.36944444444444446","Continental Engineering Corporation","ecological engineering institute"
"dbpedia_1056","Kaggle_4570685","0.0","0.0","0.411524500907441","Continental Engineering Corporation","china ningbo donghao engineering inc."
"dbpedia_1056","Kaggle_4582740","0.0","0.0","0.8409090909090908","Continental Engineering Corporation","kentinental engineering limited"
"dbpedia_1056","Kaggle_4621497","0.0","0.0","0.4351851851851852","Continental Engineering Corporation","codlogic software engineering"
"dbpedia_1056","Kaggle_4673072","0.0","0.0","0.3845454545454545","Continental Engineering Corporation","h.h. engineering as"
"dbpedia_1056","Kaggle_4697619","0.0","0.0","0.359775641025641","Continental Engineering Corporation","identity cars engineering s.l & i.d.e.a.s s.l"
"dbpedia_1056","Kaggle_4733943","0.0","0.0","0.5056818181818181","Continental Engineering Corporation","nte engineering ltd"
"dbpedia_1056","Kaggle_4754553","0.0","0.4878048780487805","0.0","Continental Engineering Corporation","china ctdi engineering corporation"
"dbpedia_1056","Kaggle_4765164","0.0","0.3559322033898305","0.0","Continental Engineering Corporation","china chemical engineering second construction corporation"
"dbpedia_1056","Kaggle_4765685","0.0","0.0","0.4872408293460925","Continental Engineering Corporation","four peaks environmental & engineering"
"dbpedia_1056","Kaggle_4780027","0.0","0.0","0.39807302231237324","Continental Engineering Corporation","ponting engineering consultants ltd."
"dbpedia_1056","Kaggle_4792596","0.0","0.24675324675324675","0.0","Continental Engineering Corporation","the sixth construction company ltd. of china national chemical engineering corp."
"dbpedia_1056","Kaggle_4795980","0.0","0.0","0.3572463768115942","Continental Engineering Corporation","abtin engineering company"
"dbpedia_1056","Kaggle_4805325","0.0","0.0","0.47727272727272724","Continental Engineering Corporation","content engine"
"dbpedia_1056","Kaggle_4822542","0.0","0.0","0.3894787644787645","Continental Engineering Corporation","institute of business engineering"
"dbpedia_1056","Kaggle_4840362","0.0","0.0","0.38997695852534564","Continental Engineering Corporation","eventing | engineering your event"
"dbpedia_1056","Kaggle_4850461","0.0","0.0","0.4240196078431372","Continental Engineering Corporation","kunpower mould engineering limited"
"dbpedia_1056","Kaggle_4882258","0.0","0.0","0.5706018518518519","Continental Engineering Corporation","png environmental engineering"
"dbpedia_1056","Kaggle_4895786","0.0","0.0","0.5436363636363637","Continental Engineering Corporation","online engineering inc"
"dbpedia_1056","Kaggle_4901430","0.0","0.0","0.3618181818181818","Continental Engineering Corporation","engineering next"
"dbpedia_1056","Kaggle_4923230","0.0","0.0","0.46216216216216216","Continental Engineering Corporation","college of aeronautical engineering"
"dbpedia_1056","Kaggle_4952994","0.0","0.0","0.550709939148073","Continental Engineering Corporation","sutok environmental engineering"
"dbpedia_1056","Kaggle_4958546","0.0","0.0","0.3935599284436494","Continental Engineering Corporation","environmental waves - engineering and consulting"
"dbpedia_1056","Kaggle_5012459","0.0","0.0","0.4851097178683385","Continental Engineering Corporation","vertical engineering (ve)"
"dbpedia_1056","Kaggle_5106564","0.0","0.0","0.41517857142857145","Continental Engineering Corporation","digital engineering and consulting"
"dbpedia_1056","Kaggle_5166708","0.0","0.0","0.37380382775119614","Continental Engineering Corporation","icon engineering - industry consistent engineering"
"dbpedia_1056","Kaggle_5200357","0.0","0.0","0.44310035842293904","Continental Engineering Corporation","kingfisher industrial engineering ltd"
"dbpedia_1056","Kaggle_5231665","0.0","0.38596491228070173","0.0","Continental Engineering Corporation","green pearl engineering construction corporation limited"
"dbpedia_1057","Kaggle_4027320","0.0","0.0","0.62","Continental Resources","continental ventures"
"dbpedia_1057","Kaggle_4063970","0.0","0.0","0.39464285714285713","Continental Resources","c.p.s ? continentale protections services"
"dbpedia_1057","Kaggle_4232416","0.0","0.0","0.42954545454545456","Continental Resources","mm continental"
"dbpedia_1057","Kaggle_4489937","0.0","0.0","0.5858695652173913","Continental Resources","continental realty corporation"
"dbpedia_1057","Kaggle_4553356","0.0","0.0","0.47857142857142854","Continental Resources","pyms capital resources"
"dbpedia_1057","Kaggle_4553846","0.0","0.0","0.398005148005148","Continental Resources","secter environmental resource consulting"
"dbpedia_1057","Kaggle_4878880","0.0","0.0","0.5549999999999999","Continental Resources","connect resources"
"dbpedia_1057","Kaggle_5132690","0.0","0.0","0.5991379310344828","Continental Resources","contrarian metal resources"
"dbpedia_1057","Kaggle_5162739","0.21428571428571427","0.0","0.35714285714285715","Continental Resources","container journal"
"dbpedia_1058","Kaggle_4444256","0.0","0.0","0.46373626373626375","Convenience Retail Asia","convenience and impulse retailing magazine"
"dbpedia_1065","Kaggle_3762870","0.0","0.0","0.5446428571428572","Copesa","coperva"
"dbpedia_1067","Kaggle_3604479","0.0","0.0","0.5016025641025641","Core Laboratories","alcon laboratories ireland ltd."
"dbpedia_1067","Kaggle_3711516","0.0","0.0","0.39789789789789787","Core Laboratories","computational agriculture laboratories, inc."
"dbpedia_1067","Kaggle_3924709","0.0","0.0","0.4822222222222222","Core Laboratories","medvet laboratories ireland ltd"
"dbpedia_1067","Kaggle_4485866","0.0","0.0","0.7161764705882353","Core Laboratories","morse laboratories inc."
"dbpedia_1067","Kaggle_5012437","0.0","0.0","0.36111111111111105","Core Laboratories","laboratorios finlay"
"dbpedia_1069","Kaggle_3704501","0.0","0.0","0.4487179487179488","CoreCivic","coregenic ltd"
"dbpedia_106","Kaggle_4296190","0.0","0.0","0.4472049689440994","Admirals (company)","al nahda international chemicals company"
"dbpedia_106","Kaggle_4834866","0.0","0.0","0.36888111888111885","Admirals (company)","candleart candle company inc"
"dbpedia_1072","Kaggle_4577626","0.0","0.0","0.4907407407407407","Corinthia Group of Companies","potential group of companies"
"dbpedia_1074","Kaggle_4116668","0.0","0.0","0.4913793103448276","Corporate Office Properties Trust","the corporate office"
"dbpedia_1074","Kaggle_4291114","0.0","0.0","0.47073170731707314","Corporate Office Properties Trust","corporate office environments"
"dbpedia_1074","Kaggle_4468584","0.0","0.0","0.39234234234234233","Corporate Office Properties Trust","my corporate office of fl, llc"
"dbpedia_1074","Kaggle_4560457","0.0","0.0","0.41515151515151516","Corporate Office Properties Trust","justice properties"
"dbpedia_1076","Kaggle_3465710","0.0","0.0","0.4524137931034483","Corus Entertainment","orange chilly entertainment"
"dbpedia_1076","Kaggle_3476113","0.0","0.0","0.5158862876254181","Corus Entertainment","night beats entertainment"
"dbpedia_1076","Kaggle_3493740","0.0","0.0","0.4809907834101383","Corus Entertainment","music city sports & entertainment group"
"dbpedia_1076","Kaggle_3544387","0.0","0.0","0.51657824933687","Corus Entertainment","colorful media and entertainment"
"dbpedia_1076","Kaggle_3602474","0.0","0.0","0.37713675213675213","Corus Entertainment","aracnation aerial fitness + entertainment"
"dbpedia_1076","Kaggle_3690177","0.0","0.0","0.35371621621621624","Corus Entertainment","dallas recording entertainment arts & music inc."
"dbpedia_1076","Kaggle_3800802","0.0","0.0","0.5674603174603174","Corus Entertainment","e&s entertainment, llc"
"dbpedia_1076","Kaggle_3811618","0.0","0.0","0.5315384615384615","Corus Entertainment","hunters house entertainment group"
"dbpedia_1076","Kaggle_3813866","0.0","0.0","0.47962962962962963","Corus Entertainment","highgrounds entertainment, llc"
"dbpedia_1076","Kaggle_3858573","0.0","0.0","0.5233516483516484","Corus Entertainment","concertissimo entertainment"
"dbpedia_1076","Kaggle_3865191","0.0","0.0","0.5050505050505051","Corus Entertainment","fn entertainment, llc"
"dbpedia_1076","Kaggle_3878555","0.0","0.0","0.449404761904762","Corus Entertainment","mid atlantic entertainment"
"dbpedia_1076","Kaggle_3918943","0.6190476190476191","0.0","0.7095238095238096","Corus Entertainment","lazarus entertainment"
"dbpedia_1076","Kaggle_3929445","0.0","0.0","0.3928944618599791","Corus Entertainment","midwest gaming and entertainment llc"
"dbpedia_1076","Kaggle_4015684","0.0","0.0","0.7602339181286549","Corus Entertainment","nous entertainment"
"dbpedia_1076","Kaggle_4072335","0.0","0.0","0.5833333333333334","Corus Entertainment","zeporal entertainment"
"dbpedia_1076","Kaggle_4104406","0.0","0.0","0.3578305519897304","Corus Entertainment","united for equality in sports & entertainment"
"dbpedia_1076","Kaggle_4115041","0.0","0.0","0.4649784482758621","Corus Entertainment","desja logic sports and entertainment"
"dbpedia_1076","Kaggle_4117369","0.0","0.0","0.5622222222222222","Corus Entertainment","major records entertainment"
"dbpedia_1076","Kaggle_4164122","0.0","0.0","0.5376254180602007","Corus Entertainment","wheel house entertainment"
"dbpedia_1076","Kaggle_4232441","0.0","0.0","0.4910714285714286","Corus Entertainment","cinèfoundry entertainment"
"dbpedia_1076","Kaggle_4297135","0.0","0.0","0.5593645484949833","Corus Entertainment","coolbreeze entertainment"
"dbpedia_1076","Kaggle_4305573","0.0","0.0","0.460752688172043","Corus Entertainment","monterrey pictures entertainment"
"dbpedia_1076","Kaggle_4340517","0.0","0.0","0.665631469979296","Corus Entertainment","draconus entertainment ltd"
"dbpedia_1076","Kaggle_4485352","0.0","0.0","0.36240786240786244","Corus Entertainment","theatre xtraordinaire entertainment"
"dbpedia_1076","Kaggle_4519277","0.0","0.0","0.4359582542694497","Corus Entertainment","skyword productions and entertainment inc."
